epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7211,1.7884,5.65103,1.14468,0,0,0,0,1.31996,4.97913,1.05551,5e-05,5e-05,5e-05
2,83.1978,1.51005,5.02292,1.00208,0,0,0,0,1.33148,4.70873,0.97708,0.000110272,0.000110272,0.000110272
3,124.963,1.44496,4.57928,0.93774,0,0,0,0,1.29715,4.59522,0.9325,0.00016807,0.00016807,0.00016807
4,166.287,1.48493,4.38402,0.90506,7e-05,0.00658,3e-05,1e-05,1.24592,4.48689,0.90744,0.000223392,0.000223392,0.000223392
5,205.794,1.41974,3.74441,0.8732,0.00214,0.05145,0.01535,0.01062,1.28522,4.38146,0.91064,0.00027624,0.00027624,0.00027624
6,244.408,1.38542,3.66034,0.9373,0.00634,0.17409,0.09615,0.06323,1.29277,4.31001,0.91595,0.000326613,0.000326613,0.000326613
7,282.614,1.41793,3.30081,0.92566,0.00872,0.33131,0.23549,0.13351,1.25535,4.15994,0.92047,0.00037451,0.00037451,0.00037451
8,320.958,1.32809,2.76585,0.94163,0.00832,0.32574,0.22138,0.13616,1.2185,4.08088,0.90311,0.000419932,0.000419932,0.000419932
9,359.096,1.30063,2.77677,0.92581,0.00966,0.37129,0.26844,0.182,1.22119,3.96831,0.89245,0.00046288,0.00046288,0.00046288
10,397.303,1.35273,2.5313,0.92807,0.01411,0.72073,0.56634,0.37825,1.20608,3.71391,0.89846,0.000503353,0.000503353,0.000503353
11,435.67,1.27261,2.42767,0.91396,0.01454,0.84145,0.68892,0.45225,1.1791,3.60524,0.89858,0.00054135,0.00054135,0.00054135
12,473.924,1.26125,2.18331,0.89331,0.01451,0.94868,0.83056,0.53638,1.16627,3.51272,0.90391,0.000576873,0.000576873,0.000576873
13,512.348,1.23703,2.15475,0.92172,0.01452,0.9875,0.9129,0.59186,1.16156,3.37965,0.90584,0.00060992,0.00060992,0.00060992
14,550.554,1.258,2.03645,0.90786,0.01452,0.9875,0.9129,0.59186,1.16156,3.37965,0.90584,0.000640492,0.000640492,0.000640492
15,588.868,1.30617,1.95592,0.89929,0.9313,0.80107,0.93188,0.60985,1.1743,3.16166,0.91015,0.00066859,0.00066859,0.00066859
16,627.231,1.21246,1.77443,0.88552,0.95467,0.7119,0.94165,0.61227,1.18461,2.96541,0.91988,0.000694212,0.000694212,0.000694212
17,666.814,1.26807,1.68847,0.93103,0.99177,0.25575,0.96078,0.62575,1.17121,2.79873,0.92711,0.00071736,0.00071736,0.00071736
18,707.104,1.25729,1.72315,0.93965,0.99177,0.25575,0.96078,0.62575,1.17121,2.79873,0.92711,0.000738032,0.000738032,0.000738032
19,749.643,1.23912,1.71458,0.93165,1,0.33349,0.97602,0.63776,1.13428,2.75238,0.92222,0.00075623,0.00075623,0.00075623
20,790.303,1.26951,1.76151,0.93107,0.97194,0.54137,0.97811,0.63199,1.15698,2.56635,0.92357,0.000771953,0.000771953,0.000771953
21,830.079,1.20762,1.62864,0.92929,0.97194,0.54137,0.97811,0.63199,1.15698,2.56635,0.92357,0.000755,0.000755,0.000755
22,870.239,1.20003,1.482,0.92673,0.93578,0.8917,0.98146,0.65731,1.14401,2.05963,0.92243,0.00073025,0.00073025,0.00073025
23,909.637,1.13605,1.46635,0.9295,0.96314,0.94905,0.98575,0.66639,1.12215,1.67969,0.91926,0.0007055,0.0007055,0.0007055
24,950.808,1.18025,1.45461,0.92558,0.96314,0.94905,0.98575,0.66639,1.12215,1.67969,0.91926,0.00068075,0.00068075,0.00068075
25,992.479,1.21132,1.61051,0.91571,0.97027,0.95225,0.98899,0.66594,1.13037,1.7339,0.92288,0.000656,0.000656,0.000656
26,1032.42,1.17349,1.53275,0.90768,0.97027,0.95225,0.98899,0.66594,1.13037,1.7339,0.92288,0.00063125,0.00063125,0.00063125
27,1071.78,1.18728,1.4533,0.92617,0.97086,0.96701,0.9887,0.67057,1.11181,1.74417,0.92202,0.0006065,0.0006065,0.0006065
28,1111.71,1.16789,1.52954,0.91321,0.96346,0.97858,0.98972,0.68373,1.08372,1.53979,0.91578,0.00058175,0.00058175,0.00058175
29,1151.1,1.15098,1.46236,0.92235,0.96346,0.97858,0.98972,0.68373,1.08372,1.53979,0.91578,0.000557,0.000557,0.000557
30,1190.11,1.1536,1.42286,0.90353,0.9622,0.98092,0.99049,0.68782,1.07625,1.38024,0.91126,0.00053225,0.00053225,0.00053225
31,1229.32,1.1276,1.35507,0.90896,0.95859,0.99082,0.99229,0.67534,1.11604,1.27839,0.91467,0.0005075,0.0005075,0.0005075
32,1268.8,1.11624,1.3278,0.8922,0.95859,0.99082,0.99229,0.67534,1.11604,1.27839,0.91467,0.00048275,0.00048275,0.00048275
33,1308.38,1.11217,1.31211,0.87827,0.95762,0.99099,0.99242,0.68051,1.10218,1.22954,0.91142,0.000458,0.000458,0.000458
34,1347.37,1.15843,1.4021,0.91259,0.95762,0.99099,0.99242,0.68051,1.10218,1.22954,0.91142,0.00043325,0.00043325,0.00043325
35,1386.82,1.1178,1.35405,0.89925,0.95539,0.99633,0.99261,0.69523,1.06422,1.22488,0.90344,0.0004085,0.0004085,0.0004085
36,1426.27,1.12428,1.25246,0.91782,0.95779,0.99248,0.99249,0.70225,1.03838,1.20289,0.90069,0.00038375,0.00038375,0.00038375
37,1465.54,1.08454,1.29023,0.89229,0.95779,0.99248,0.99249,0.70225,1.03838,1.20289,0.90069,0.000359,0.000359,0.000359
38,1504.52,1.12771,1.29903,0.88683,0.95895,0.98756,0.99269,0.70937,1.0365,1.15377,0.90326,0.00033425,0.00033425,0.00033425
39,1544.49,1.05477,1.18049,0.89475,0.96168,0.98684,0.99261,0.70098,1.053,1.10377,0.90655,0.0003095,0.0003095,0.0003095
40,1584.57,1.05318,1.28558,0.88255,0.96168,0.98684,0.99261,0.70098,1.053,1.10377,0.90655,0.00028475,0.00028475,0.00028475
41,1623.44,1.13411,1.82365,0.87443,0.97214,0.98393,0.99285,0.70032,1.05167,1.07912,0.90514,0.00026,0.00026,0.00026
42,1663.27,1.16484,1.8013,0.88826,0.97214,0.98393,0.99285,0.70032,1.05167,1.07912,0.90514,0.00023525,0.00023525,0.00023525
43,1701.11,1.15484,1.74882,0.91478,0.96838,0.99129,0.99266,0.70325,1.04522,1.07232,0.90224,0.0002105,0.0002105,0.0002105
44,1739.34,1.10023,1.84103,0.90919,0.97114,0.99137,0.99263,0.70545,1.03732,1.08596,0.89967,0.00018575,0.00018575,0.00018575
45,1778.61,1.14562,1.82859,0.89457,0.97114,0.99137,0.99263,0.70545,1.03732,1.08596,0.89967,0.000161,0.000161,0.000161
46,1817.46,1.10615,1.81217,0.89327,0.9645,0.9872,0.99162,0.71098,1.03348,1.09394,0.89792,0.00013625,0.00013625,0.00013625
47,1857.6,1.15162,1.94271,0.91234,0.96591,0.99496,0.99238,0.71111,1.02703,1.09128,0.89637,0.0001115,0.0001115,0.0001115
48,1895.89,1.09503,1.82158,0.87957,0.96591,0.99496,0.99238,0.71111,1.02703,1.09128,0.89637,8.675e-05,8.675e-05,8.675e-05
49,1934.02,1.06217,1.74374,0.90382,0.96589,0.99814,0.99219,0.71496,1.02564,1.08415,0.89633,6.2e-05,6.2e-05,6.2e-05
50,1972.05,1.0734,1.75756,0.89248,0.96589,0.99814,0.99219,0.71496,1.02564,1.08415,0.89633,3.725e-05,3.725e-05,3.725e-05
