epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8158,3.70744,4.65801,1.73534,0,0,0,0,3.6817,5.21313,1.39732,6.666e-05,6.666e-05,6.666e-05
2,29.0581,3.01614,4.3956,1.26564,0,0,0,0,3.04909,4.81475,1.00772,0.000142643,0.000142643,0.000142643
3,49.7565,2.56212,4.09108,1.05625,0,0,0,0,2.6805,4.65423,0.94587,0.000216701,0.000216701,0.000216701
4,79.6082,2.45201,3.70176,0.98576,0,0,0,0,2.49053,4.53241,0.91857,0.000288834,0.000288834,0.000288834
5,106.637,2.43355,3.32982,0.93991,0.01225,0.11236,0.03644,0.01222,2.38993,4.25134,0.91228,0.000359042,0.000359042,0.000359042
6,135.265,2.35231,2.95195,0.93897,0.02324,0.23995,0.05674,0.01585,2.39971,3.9283,0.91178,0.000427325,0.000427325,0.000427325
7,162.439,2.19239,2.64034,0.92418,0.30943,0.12358,0.06801,0.02145,2.45796,3.71464,0.92006,0.000493684,0.000493684,0.000493684
8,175.966,1.93529,2.44632,0.90164,0.36845,0.13068,0.10532,0.04297,2.24628,3.37069,0.8994,0.000558118,0.000558118,0.000558118
9,188.438,1.96684,2.34372,0.898,0.41707,0.11453,0.14468,0.05715,2.26823,3.2572,0.90393,0.000620627,0.000620627,0.000620627
10,205.355,1.91859,2.15856,0.88767,0.65318,0.20407,0.17201,0.06377,2.17525,3.14148,0.89553,0.000681211,0.000681211,0.000681211
11,232.562,2.08257,2.22635,0.90061,0.41002,0.24053,0.20042,0.08943,2.04986,2.94596,0.87896,0.00073987,0.00073987,0.00073987
12,259.745,2.07212,2.08021,0.8897,0.41847,0.26262,0.20626,0.08519,2.07712,2.95903,0.87902,0.000796605,0.000796605,0.000796605
13,289.387,2.08263,1.97753,0.88352,0.40252,0.22913,0.19324,0.07929,1.99193,3.01036,0.86295,0.000851415,0.000851415,0.000851415
14,315.982,1.89391,1.84842,0.88542,0.40252,0.22913,0.19324,0.07929,1.99193,3.01036,0.86295,0.0009043,0.0009043,0.0009043
15,343.595,2.31525,1.99057,0.92246,0.41069,0.21485,0.2061,0.07919,2.0562,2.88939,0.87057,0.000918519,0.000918519,0.000918519
16,370.721,1.8683,1.801,0.89353,0.40119,0.27238,0.22569,0.08966,2.00598,2.78257,0.8636,0.000904771,0.000904771,0.000904771
17,397.182,2.11943,1.84221,0.90825,0.50861,0.22491,0.29095,0.1165,1.87158,2.68916,0.839,0.000891022,0.000891022,0.000891022
18,424.631,1.95358,1.72686,0.88305,0.53604,0.22491,0.33323,0.139,1.91485,2.5555,0.84558,0.000877273,0.000877273,0.000877273
19,451.635,1.80508,1.68367,0.8801,0.53097,0.27656,0.37744,0.16813,1.8326,2.4448,0.85005,0.000863525,0.000863525,0.000863525
20,479.529,1.94977,1.69129,0.88011,0.55442,0.29665,0.41523,0.18525,1.77612,2.29609,0.84974,0.000849776,0.000849776,0.000849776
21,507.008,2.10625,1.70769,0.88957,0.27604,0.40519,0.38821,0.18492,1.744,2.18005,0.84593,0.000836027,0.000836027,0.000836027
22,534.98,1.92287,1.65241,0.8816,0.27604,0.40519,0.38821,0.18492,1.744,2.18005,0.84593,0.000822279,0.000822279,0.000822279
23,561.135,1.86431,1.5251,0.88054,0.30206,0.41029,0.37794,0.17694,1.76989,2.07258,0.84529,0.00080853,0.00080853,0.00080853
24,588.027,1.83069,1.51189,0.87937,0.4246,0.36293,0.42415,0.19444,1.70929,1.97211,0.84259,0.000794782,0.000794782,0.000794782
25,615.783,2.03173,1.52439,0.88927,0.49568,0.35781,0.45423,0.21093,1.69902,1.91593,0.84355,0.000781033,0.000781033,0.000781033
26,642.889,1.77688,1.46521,0.87201,0.49025,0.36533,0.48486,0.2252,1.70486,1.93826,0.84581,0.000767284,0.000767284,0.000767284
27,670.235,2.00301,1.47147,0.88194,0.3752,0.4132,0.49472,0.23271,1.70799,1.97249,0.84829,0.000753536,0.000753536,0.000753536
28,697.463,1.81529,1.38836,0.86958,0.37916,0.41083,0.47407,0.24025,1.6722,1.97182,0.84989,0.000739787,0.000739787,0.000739787
29,724.787,1.68749,1.37833,0.86833,0.41916,0.39398,0.47781,0.2449,1.65559,1.97157,0.85319,0.000726038,0.000726038,0.000726038
30,752.02,1.89398,1.41555,0.87539,0.41916,0.39398,0.47781,0.2449,1.65559,1.97157,0.85319,0.00071229,0.00071229,0.00071229
31,779.975,1.7243,1.38868,0.86891,0.43293,0.40314,0.51556,0.26335,1.61849,1.95325,0.85185,0.000698541,0.000698541,0.000698541
32,807.474,1.68116,1.29208,0.8685,0.43111,0.45884,0.52601,0.26189,1.59834,1.95273,0.84622,0.000684793,0.000684793,0.000684793
33,834.958,1.80427,1.27223,0.86659,0.45372,0.46609,0.52783,0.25723,1.62537,1.92007,0.84552,0.000671044,0.000671044,0.000671044
34,862.628,1.64015,1.24414,0.86105,0.47925,0.4615,0.54076,0.26372,1.59991,1.88213,0.8475,0.000657295,0.000657295,0.000657295
35,889.198,1.60278,1.20468,0.86462,0.49846,0.48807,0.54897,0.27676,1.54734,1.77682,0.84688,0.000643547,0.000643547,0.000643547
36,915.517,1.63542,1.19389,0.85388,0.55072,0.46361,0.56621,0.27931,1.57829,1.72358,0.85033,0.000629798,0.000629798,0.000629798
37,942.288,1.50826,1.14964,0.86044,0.5093,0.44351,0.54059,0.26893,1.62807,1.68493,0.85432,0.000616049,0.000616049,0.000616049
38,969.543,1.81286,1.23128,0.87006,0.5093,0.44351,0.54059,0.26893,1.62807,1.68493,0.85432,0.000602301,0.000602301,0.000602301
39,988.687,1.64564,1.17818,0.86027,0.52654,0.48774,0.55839,0.27573,1.56455,1.66499,0.84855,0.000588552,0.000588552,0.000588552
40,1016.81,1.75512,1.3158,0.8595,0.5463,0.48346,0.56374,0.28479,1.52463,1.69408,0.84679,0.000574804,0.000574804,0.000574804
41,1043.2,1.63517,1.14238,0.85691,0.52759,0.4839,0.56932,0.28193,1.57647,1.67664,0.84754,0.000561055,0.000561055,0.000561055
42,1070.19,1.58556,1.13483,0.85215,0.53521,0.52803,0.58193,0.29422,1.54504,1.60544,0.84453,0.000547306,0.000547306,0.000547306
43,1098.09,1.56568,1.13282,0.85252,0.53327,0.52466,0.58858,0.29557,1.51452,1.52457,0.83959,0.000533558,0.000533558,0.000533558
44,1127.55,1.5614,1.07405,0.85168,0.52271,0.53427,0.58982,0.29263,1.52021,1.51824,0.83955,0.000519809,0.000519809,0.000519809
45,1156.27,1.6777,1.10133,0.86314,0.5162,0.5344,0.5848,0.30375,1.46415,1.51966,0.83648,0.00050606,0.00050606,0.00050606
46,1183.75,1.6057,1.04143,0.85246,0.5162,0.5344,0.5848,0.30375,1.46415,1.51966,0.83648,0.000492312,0.000492312,0.000492312
47,1216.74,1.66401,1.0866,0.85009,0.51991,0.56155,0.58125,0.29634,1.4937,1.51998,0.83508,0.000478563,0.000478563,0.000478563
48,1250.68,1.53573,1.02735,0.84669,0.5404,0.53673,0.5787,0.28802,1.56678,1.52656,0.83705,0.000464815,0.000464815,0.000464815
49,1279.64,1.69193,1.06205,0.85916,0.55834,0.52627,0.58007,0.29187,1.55646,1.5067,0.83724,0.000451066,0.000451066,0.000451066
50,1305.7,1.44882,1.04432,0.84377,0.57603,0.53865,0.58949,0.30722,1.50192,1.46317,0.83404,0.000437317,0.000437317,0.000437317
51,1333.64,1.62491,1.08732,0.85454,0.56504,0.54389,0.59875,0.31927,1.48354,1.44153,0.83356,0.000423569,0.000423569,0.000423569
